book,lex,sp,vs,vt,ctyp,ptyp,gloss
chr,אדמ,nmpr,,,NmCl,PrNP,Adam
chr,שׁת,nmpr,,,,,Seth
chr,אנושׁ,nmpr,,,,,Enosh
chr,קיננ,nmpr,,,NmCl,PrNP,Kenan
chr,מהללאל,nmpr,,,,,Mahalalel
chr,ירד,nmpr,,,,,Jered
chr,חנוכ,nmpr,,,NmCl,PrNP,Henoch
chr,מתושׁלח,nmpr,,,,,Methuselah
chr,למכ,nmpr,,,,,Lamech
chr,נח,nmpr,,,NmCl,PrNP,Noah
chr,שׁמ,nmpr,,,,,Shem
chr,חמ,nmpr,,,,,Ham
chr,ו,conj,,,,,and
chr,יפת,nmpr,,,,,Japheth
chr,בנ,subs,,,NmCl,NP,son
chr,יפת,nmpr,,,,,Japheth
chr,גמר,nmpr,,,,PrNP,Gomer
chr,ו,conj,,,,,and
chr,מגוג,nmpr,,,,,Magog
chr,ו,conj,,,,,and
chr,מדי,nmpr,,,,,Media
chr,ו,conj,,,,,and
chr,יונ,nmpr,,,,,"<jawan, Greece>"
chr,ו,conj,,,,,and
chr,תבל,nmpr,,,,,Tubal
chr,ו,conj,,,,,and
chr,משׁכ,nmpr,,,,,Meshech
chr,ו,conj,,,,,and
chr,תירס,nmpr,,,,,Tiras
chr,ו,conj,,,NmCl,CP,and
chr,בנ,subs,,,,NP,son
chr,גמר,nmpr,,,,,Gomer
chr,אשׁכנז,nmpr,,,,PrNP,Ashkenaz
chr,ו,conj,,,,,and
chr,דיפת,nmpr,,,,,Riphath
chr,ו,conj,,,,,and
chr,תוגרמה,nmpr,,,,,Togarmah
chr,ו,conj,,,NmCl,CP,and
chr,בנ,subs,,,,NP,son
chr,יונ,nmpr,,,,,"<jawan, Greece>"
chr,אלישׁה,nmpr,,,,PrNP,Elishah
chr,ו,conj,,,,,and
chr,תרשׁישׁ,nmpr,,,,,Tarshish
chr,כתיימ,nmpr,,,,,Kittim
chr,ו,conj,,,,,and
chr,רודנימ,nmpr,,,,,Rodanim
chr,בנ,subs,,,NmCl,NP,son
chr,חמ,nmpr,,,,,Ham
chr,כושׁ,nmpr,,,,PrNP,Cush
chr,ו,conj,,,,,and
chr,מצרימ,nmpr,,,,,Egypt
chr,פוט,nmpr,,,,,Put
chr,ו,conj,,,,,and
chr,כנענ,nmpr,,,,,Canaan
chr,ו,conj,,,NmCl,CP,and
chr,בנ,subs,,,,NP,son
chr,כושׁ,nmpr,,,,,Cush
chr,סבא,nmpr,,,,PrNP,Seba
chr,ו,conj,,,,,and
chr,חוילה,nmpr,,,,,Havilah
chr,ו,conj,,,,,and
chr,סבתא,nmpr,,,,,Sabta
chr,ו,conj,,,,,and
chr,רעמה,nmpr,,,,,Raamah
chr,ו,conj,,,,,and
chr,סבתכא,nmpr,,,,,Sabteca
chr,ו,conj,,,NmCl,CP,and
chr,בנ,subs,,,,NP,son
chr,רעמה,nmpr,,,,,Raamah
chr,שׁבא,nmpr,,,,PrNP,Sheba
chr,ו,conj,,,,,and
chr,דדנ,nmpr,,,,,Dedan
chr,ו,conj,,,WXQt,CP,and
chr,כושׁ,nmpr,,,,PrNP,Cush
chr,ילד,verb,qal,perf,,VP,bear
chr,את,prep,,,,PP,<object marker>
chr,נמרד,nmpr,,,,,Nimrod
chr,הוא,prps,,,XQtl,PPrP,he
chr,חלל,verb,hif,perf,,VP,defile
chr,ל,prep,,,InfC,VP,to
chr,היה,verb,qal,infc,,,be
chr,גבור,subs,,,,NP,vigorous
chr,ב,prep,,,,PP,in
chr,ה,art,,,,,the
chr,ארצ,subs,,,,,earth
chr,ו,conj,,,WXQt,CP,and
chr,מצרימ,nmpr,,,,PrNP,Egypt
chr,ילד,verb,qal,perf,,VP,bear
chr,את,prep,,,,PP,<object marker>
chr,לודימ,nmpr,,,,,Ludites
chr,ו,conj,,,,,and
chr,את,prep,,,,,<object marker>
chr,ענמימ,nmpr,,,,,Anamites
chr,ו,conj,,,,,and
chr,את,prep,,,,,<object marker>
chr,להבימ,nmpr,,,,,Lehabites
chr,ו,conj,,,,,and
chr,את,prep,,,,,<object marker>
chr,נפתחימ,nmpr,,,,,Naphtuhites
chr,ו,conj,,,Ellp,CP,and
chr,את,prep,,,,PP,<object marker>
chr,פתרסימ,nmpr,,,,,Pathrusites
chr,ו,conj,,,,,and
chr,את,prep,,,,,<object marker>
chr,כסלחימ,nmpr,,,,,Casluhites
chr,אשׁר,conj,,,xQtX,CP,<relative>
chr,יצא,verb,qal,perf,,VP,go out
chr,מנ,prep,,,,PP,from
chr,שׁמ,advb,,,,,there
chr,פלשׁתי,adjv,,,,NP,Philistine
chr,ו,conj,,,Ellp,CP,and
chr,את,prep,,,,PP,<object marker>
chr,כפתרי,adjv,,,,,Caphtorite
chr,ו,conj,,,WXQt,CP,and
chr,כנענ,nmpr,,,,PrNP,Canaan
chr,ילד,verb,qal,perf,,VP,bear
chr,את,prep,,,,PP,<object marker>
chr,צידונ,nmpr,,,,,Sidon
chr,בכר,subs,,,,,first-born
chr,ו,conj,,,,,and
chr,את,prep,,,,,<object marker>
chr,חת,nmpr,,,,,Heth
chr,ו,conj,,,Ellp,CP,and
chr,את,prep,,,,PP,<object marker>
chr,ה,art,,,,,the
chr,יבוסי,adjv,,,,,Jebusite
chr,ו,conj,,,,,and
chr,את,prep,,,,,<object marker>
chr,ה,art,,,,,the
chr,אמרי,adjv,,,,,Amorite
chr,ו,conj,,,,,and
chr,את,prep,,,,,<object marker>
chr,ה,art,,,,,the
chr,גרגשׁי,adjv,,,,,Girgashite
chr,ו,conj,,,Ellp,CP,and
chr,את,prep,,,,PP,<object marker>
chr,ה,art,,,,,the
chr,חוי,adjv,,,,,Hivite
chr,ו,conj,,,,,and
chr,את,prep,,,,,<object marker>
chr,ה,art,,,,,the
chr,ערקי,adjv,,,,,Arkite
chr,ו,conj,,,,,and
chr,את,prep,,,,,<object marker>
chr,ה,art,,,,,the
chr,סיני,adjv,,,,,Sinite
chr,ו,conj,,,Ellp,CP,and
chr,את,prep,,,,PP,<object marker>
chr,ה,art,,,,,the
chr,ארודי,adjv,,,,,Arvadite
chr,ו,conj,,,,,and
chr,את,prep,,,,,<object marker>
chr,ה,art,,,,,the
chr,צמרי,adjv,,,,,Zemarite
chr,ו,conj,,,,,and
