book,lex,sp,vs,vt,ctyp,ptyp,gloss
sam,ו,conj,,,WayX,CP,and
sam,היה,verb,qal,wayq,,VP,be
sam,אישׁ,subs,,,,NP,man
sam,אחד,subs,,,,,one
sam,מנ,prep,,,,,from
sam,ה,art,,,,,the
sam,רמה,subs,,,,,high place
sam,צפה,verb,qal,ptca,,,look out
sam,מנ,prep,,,,,from
sam,הר,subs,,,,,mountain
sam,אפרימ,nmpr,,,,,Ephraim
sam,ו,conj,,,NmCl,CP,and
sam,שׁמ,subs,,,,NP,name
sam,אלקנה,nmpr,,,,PrNP,Elkanah
sam,בנ,subs,,,,,son
sam,ירחמ,nmpr,,,,,Jeroham
sam,בנ,subs,,,,,son
sam,אליהוא,nmpr,,,,,Elihu
sam,בנ,subs,,,,,son
sam,תחו,nmpr,,,,,Tohu
sam,בנ,subs,,,,,son
sam,צופ,nmpr,,,,,Zuph
sam,אפרתי,adjv,,,,,Ephrathite
sam,ו,conj,,,NmCl,CP,and
sam,ל,prep,,,,PP,to
sam,שׁנימ,subs,,,,NP,two
sam,אשׁה,subs,,,,,woman
sam,שׁמ,subs,,,NmCl,NP,name
sam,אחד,subs,,,,,one
sam,חנה,nmpr,,,,PrNP,Hannah
sam,ו,conj,,,NmCl,CP,and
sam,שׁמ,subs,,,,NP,name
sam,ה,art,,,,,the
sam,שׁני,adjv,,,,,second
sam,פננה,nmpr,,,,PrNP,Peninnah
sam,ו,conj,,,MSyn,CP,and
sam,היה,verb,qal,wayq,,VP,be
sam,ל,prep,,,NmCl,PP,to
sam,פננה,nmpr,,,,,Peninnah
sam,ילד,subs,,,,NP,boy
sam,ו,conj,,,NmCl,CP,and
sam,ל,prep,,,,PP,to
sam,חנה,nmpr,,,,,Hannah
sam,אינ,subs,,,,NegP,<NEG>
sam,ילד,subs,,,,NP,boy
sam,ו,conj,,,WQtX,CP,and
sam,עלה,verb,qal,perf,,VP,ascend
sam,ה,art,,,,NP,the
sam,אישׁ,subs,,,,,man
sam,ה,art,,,,,the
sam,הוא,prps,,,,,he
sam,מנ,prep,,,,PP,from
sam,עיר,subs,,,,,town
sam,מנ,prep,,,,PP,from
sam,יומ,subs,,,,,day
sam,יומ,subs,,,,,day
sam,ל,prep,,,InfC,VP,to
sam,חוה,verb,hsht,infc,,,bow down
sam,ו,conj,,,InfC,CP,and
sam,ל,prep,,,,VP,to
sam,זבח,verb,qal,infc,,,slaughter
sam,ל,prep,,,,PP,to
sam,יהוה,nmpr,,,,,YHWH
sam,צבא,subs,,,,,service
sam,ב,prep,,,,PP,in
sam,שׁלה,nmpr,,,,,Shiloh
sam,ו,conj,,,NmCl,CP,and
sam,שׁמ,advb,,,,AdvP,there
sam,שׁנימ,subs,,,,NP,two
sam,בנ,subs,,,,,son
sam,עלי,nmpr,,,,,Eli
sam,חפני,nmpr,,,,,Hophni
sam,ו,conj,,,,,and
sam,פינחס,nmpr,,,,,Phinehas
sam,כהנ,subs,,,,NP,priest
sam,ל,prep,,,,,to
sam,יהוה,nmpr,,,,,YHWH
sam,ו,conj,,,Way0,CP,and
sam,היה,verb,qal,wayq,,VP,be
sam,ה,art,,,,NP,the
sam,יומ,subs,,,,,day
sam,ו,conj,,,WayX,CP,and
sam,זבח,verb,qal,wayq,,VP,slaughter
sam,אלקנה,nmpr,,,,PrNP,Elkanah
sam,ו,conj,,,WQt0,CP,and
sam,נתנ,verb,qal,perf,,VP,give
sam,ל,prep,,,,PP,to
sam,פננה,nmpr,,,,,Peninnah
sam,אשׁה,subs,,,,,woman
sam,ו,conj,,,,,and
sam,ל,prep,,,,,to
sam,כל,subs,,,,,whole
sam,בנ,subs,,,,,son
sam,ו,conj,,,,,and
sam,בת,subs,,,,,daughter
sam,מנה,subs,,,,NP,portion
sam,ו,conj,,,WxY0,CP,and
sam,ל,prep,,,,PP,to
sam,חנה,nmpr,,,,,Hannah
sam,נתנ,verb,qal,impf,,VP,give
sam,מנה,subs,,,,NP,portion
sam,אחד,subs,,,,,one
sam,אפ,subs,,,,,nose
sam,כי,conj,,,xQt0,CP,that
sam,את,prep,,,,PP,<object marker>
sam,חנה,nmpr,,,,,Hannah
sam,אהב,verb,qal,perf,,VP,love
sam,ו,conj,,,WXQt,CP,and
sam,יהוה,nmpr,,,,PrNP,YHWH
sam,סגר,verb,qal,perf,,VP,close
sam,רחמ,subs,,,,NP,womb
sam,ו,conj,,,WQtX,CP,and
sam,כעס,verb,piel,perf,,VP,be discontent
sam,צרה,subs,,,,NP,rival wife
sam,גמ,advb,,,,NP,even
sam,כעס,subs,,,,,grief
sam,ב,prep,,,InfC,VP,in
sam,עבור,subs,,,,,way
sam,רעמ,verb,hif,infc,,,be disconcerted
sam,כי,conj,,,xQtX,CP,that
sam,סגר,verb,qal,perf,,VP,close
sam,יהוה,nmpr,,,,PrNP,YHWH
sam,בעד,subs,,,,PP,distance
sam,רחמ,subs,,,,,womb
sam,ו,conj,,,WxY0,CP,and
sam,כנ,advb,,,,AdvP,thus
sam,עשׂה,verb,qal,impf,,VP,make
sam,שׁנה,subs,,,,NP,year
sam,ב,prep,,,,,in
sam,שׁנה,subs,,,,,year
sam,מנ,prep,,,InfC,VP,from
sam,די,subs,,,,,sufficiency
sam,עלה,verb,qal,infc,,,ascend
sam,ב,prep,,,,PP,in
sam,בית,subs,,,,,house
sam,יהוה,nmpr,,,,,YHWH
sam,כנ,advb,,,xYq0,AdvP,thus
sam,כעס,verb,hif,impf,,VP,be discontent
sam,ו,conj,,,Way0,CP,and
sam,בכה,verb,qal,wayq,,VP,weep
sam,ו,conj,,,WxY0,CP,and
sam,לא,nega,,,,NegP,not
sam,אכל,verb,qal,impf,,VP,eat
sam,ו,conj,,,WayX,CP,and
sam,אמר,verb,qal,wayq,,VP,say
sam,ל,prep,,,,PP,to
sam,אלקנה,nmpr,,,,PrNP,Elkanah
sam,אישׁ,subs,,,,,man
sam,חנה,nmpr,,,Voct,PrNP,Hannah
sam,למה,inrg,,,xYq0,InrP,why
sam,בכה,verb,qal,impf,,VP,weep
sam,ו,conj,,,WxY0,CP,and
sam,למה,inrg,,,,InrP,why
sam,לא,nega,,,,NegP,not
sam,אכל,verb,qal,impf,,VP,eat
sam,ו,conj,,,WxYX,CP,and
sam,למה,inrg,,,,InrP,why
sam,רעע,verb,qal,impf,,VP,be evil
sam,לבב,subs,,,,NP,heart
sam,ה,inrg,,,AjCl,InrP,<interrogative>
sam,לא,nega,,,,NegP,not
sam,אנכי,prps,,,,PPrP,i
sam,טוב,adjv,,,,AdjP,good
sam,ל,prep,,,,PP,to
sam,מנ,prep,,,,PP,from
sam,עשׂרה,subs,,,,,ten
sam,בנ,subs,,,,,son
sam,ו,conj,,,WayX,CP,and
sam,קומ,verb,qal,wayq,,VP,arise
sam,חנה,nmpr,,,,PrNP,Hannah
sam,אחר,subs,,,InfC,VP,after
sam,אכל,verb,qal,infc,,,eat
sam,ב,prep,,,,PP,in
sam,שׁלה,nmpr,,,,,Shiloh
sam,ו,conj,,,InfA,CP,and
sam,אחר,subs,,,,VP,after
sam,שׁתה,verb,qal,infa,,,drink
sam,ו,conj,,,Ptcp,CP,and
sam,עלי,nmpr,,,,PrNP,Eli
sam,ה,art,,,,,the
sam,כהנ,subs,,,,,priest
sam,ישׁב,verb,qal,ptca,,VP,sit
sam,על,prep,,,,PP,upon
sam,ה,art,,,,,the
sam,כסא,subs,,,,,seat
sam,על,prep,,,,PP,upon
sam,מזוזה,subs,,,,,door-post
sam,היכל,subs,,,,,palace
sam,יהוה,nmpr,,,,,YHWH
sam,ו,conj,,,AjCl,CP,and
sam,היא,prps,,,,PPrP,she
sam,מר,adjv,,,,AdjP,bitter
sam,נפשׁ,subs,,,,,soul
sam,ו,conj,,,Way0,CP,and
sam,פלל,verb,hit,wayq,,VP,pray
sam,על,prep,,,,PP,upon
sam,יהוה,nmpr,,,,,YHWH
sam,ו,conj,,,WxY0,CP,and
sam,בכה,verb,qal,infa,,AdvP,weep
sam,בכה,verb,qal,impf,,VP,weep
sam,ו,conj,,,Way0,CP,and
sam,נדר,verb,qal,wayq,,VP,vow
sam,נדר,subs,,,,NP,vow
sam,ו,conj,,,Way0,CP,and
sam,אמר,verb,qal,wayq,,VP,say
sam,יהוה,nmpr,,,Voct,PrNP,YHWH
sam,צבא,subs,,,,,service
sam,אמ,conj,,,xYq0,CP,if
sam,ראה,verb,qal,infa,,AdvP,see
sam,ראה,verb,qal,impf,,VP,see
sam,ב,prep,,,,PP,in
sam,עני,subs,,,,,poverty
sam,אמה,subs,,,,,handmaid
sam,ו,conj,,,WQt0,CP,and
sam,זכר,verb,qal,perf,,VP,remember
sam,ו,conj,,,WxY0,CP,and
sam,לא,nega,,,,NegP,not
sam,שׁכח,verb,qal,impf,,VP,forget
sam,את,prep,,,,PP,<object marker>
sam,אמה,subs,,,,,handmaid
sam,ו,conj,,,WQt0,CP,and
sam,נתנ,verb,qal,perf,,VP,give
sam,ל,prep,,,,PP,to
sam,אמה,subs,,,,,handmaid
sam,זרע,subs,,,,NP,seed
sam,אישׁ,subs,,,,,man
sam,ו,conj,,,WQt0,CP,and
sam,נתנ,verb,qal,perf,,VP,give
sam,ל,prep,,,,PP,to
sam,יהוה,nmpr,,,,,YHWH
sam,כל,subs,,,,NP,whole
sam,יומ,subs,,,,,day
sam,חיימ,subs,,,,,life
sam,ו,conj,,,WXYq,CP,and
sam,מורה,subs,,,,NP,razor
sam,לא,nega,,,,NegP,not
sam,עלה,verb,qal,impf,,VP,ascend
sam,על,prep,,,,PP,upon
sam,ראשׁ,subs,,,,,head
sam,ו,conj,,,MSyn,CP,and
sam,היה,verb,qal,perf,,VP,be
sam,כי,conj,,,xQt0,CP,that
sam,רבה,verb,hif,perf,,VP,be many
sam,ל,prep,,,InfC,VP,to
sam,פלל,verb,hit,infc,,,pray
sam,ל,prep,,,,PP,to
sam,פנה,subs,,,,,face
sam,יהוה,nmpr,,,,,YHWH
sam,ו,conj,,,Ptcp,CP,and
sam,עלי,nmpr,,,,PrNP,Eli
sam,שׁמר,verb,qal,ptca,,VP,keep
sam,את,prep,,,,PP,<object marker>
sam,פה,subs,,,,,mouth
sam,ו,conj,,,CPen,CP,and
sam,חנה,nmpr,,,,PrNP,Hannah
sam,היא,prps,,,Ptcp,PPrP,she
sam,דבר,verb,piel,ptca,,VP,speak
sam,על,prep,,,,PP,upon
sam,לב,subs,,,,,heart
sam,רק,advb,,,NmCl,NP,only
sam,שׂפה,subs,,,,,lip
sam,נוע,verb,qal,ptca,,NP,quiver
sam,ו,conj,,,WXYq,CP,and
sam,קול,subs,,,,NP,sound
sam,לא,nega,,,,NegP,not
sam,שׁמע,verb,nif,impf,,VP,hear
sam,ו,conj,,,WayX,CP,and
sam,חשׁב,verb,qal,wayq,,VP,account
sam,עלי,nmpr,,,,PrNP,Eli
sam,ל,prep,,,,PP,to
sam,שׁכור,adjv,,,,,drunk
sam,ו,conj,,,WayX,CP,and
sam,אמר,verb,qal,wayq,,VP,say
sam,אל,prep,,,,PP,to
sam,עלי,nmpr,,,,PrNP,Eli
sam,עד,prep,,,xYq0,PP,unto
sam,מתי,inrg,,,,,when
sam,שׁכר,verb,hit,impf,,VP,be drunk
sam,סור,verb,hif,impv,ZIm0,VP,turn aside
sam,את,prep,,,,PP,<object marker>
sam,יינ,subs,,,,,wine
sam,מנ,prep,,,,PP,from
sam,על,prep,,,,,upon
sam,ו,conj,,,WayX,CP,and
sam,ענה,verb,qal,wayq,,VP,answer
sam,חנה,nmpr,,,,PrNP,Hannah
sam,ו,conj,,,Way0,CP,and
sam,אמר,verb,qal,wayq,,VP,say
sam,לא,nega,,,NmCl,NegP,not
sam,אדונ,subs,,,Voct,NP,lord
sam,אשׁה,subs,,,NmCl,NP,woman
sam,קשׁה,adjv,,,,,hard
sam,רוח,subs,,,,,wind
sam,אנכי,prps,,,,PPrP,i
sam,ו,conj,,,WxQ0,CP,and
sam,יינ,subs,,,,NP,wine
sam,ו,conj,,,,,and
sam,שׁכר,subs,,,,,strong drink
sam,לא,nega,,,,NegP,not
sam,שׁתה,verb,qal,perf,,VP,drink
sam,ו,conj,,,Way0,CP,and
sam,שׁפכ,verb,qal,wayq,,VP,pour
sam,את,prep,,,,PP,<object marker>
sam,נפשׁ,subs,,,,,soul
sam,ל,prep,,,,PP,to
sam,פנה,subs,,,,,face
sam,יהוה,nmpr,,,,,YHWH
sam,אל,nega,,,xYq0,NegP,not
sam,נתנ,verb,qal,impf,,VP,give
sam,את,prep,,,,PP,<object marker>
sam,אמה,subs,,,,,handmaid
sam,ל,prep,,,,PP,to
sam,פנה,subs,,,,,face
sam,בת,subs,,,,,daughter
sam,בליעל,subs,,,,,wickedness
sam,כי,conj,,,xQt0,CP,that
sam,מנ,prep,,,,PP,from
sam,רב,subs,,,,,multitude
sam,שׂיח,subs,,,,,concern
sam,ו,conj,,,,,and
sam,כעס,subs,,,,,grief
sam,דבר,verb,piel,perf,,VP,speak
sam,עד,prep,,,,PP,unto
sam,הנה,advb,,,,,here
sam,ו,conj,,,WayX,CP,and
sam,ענה,verb,qal,wayq,,VP,answer
sam,עלי,nmpr,,,,PrNP,Eli
sam,ו,conj,,,Way0,CP,and
sam,אמר,verb,qal,wayq,,VP,say
sam,הלכ,verb,qal,impv,ZIm0,VP,walk
sam,ל,prep,,,,PP,to
sam,שׁלומ,subs,,,,,peace
sam,ו,conj,,,WXYq,CP,and
sam,אלהימ,subs,,,,NP,god(s)
sam,ישׂראל,nmpr,,,,,Israel
sam,נתנ,verb,qal,impf,,VP,give
sam,את,prep,,,,PP,<object marker>
sam,שׁאלה,subs,,,,,request
sam,אשׁר,conj,,,xQt0,CP,<relative>
sam,שׁאל,verb,qal,perf,,VP,ask
sam,מנ,prep,,,,PP,from
sam,עמ,prep,,,,,with
sam,ו,conj,,,Way0,CP,and
sam,אמר,verb,qal,wayq,,VP,say
sam,מצא,verb,qal,impf,ZYqX,VP,find
sam,שׁפחה,subs,,,,NP,maidservant
sam,חנ,subs,,,,NP,grace
sam,ב,prep,,,,PP,in
sam,עינ,subs,,,,,eye
sam,ו,conj,,,WayX,CP,and
sam,הלכ,verb,qal,wayq,,VP,walk
sam,ה,art,,,,NP,the
sam,אשׁה,subs,,,,,woman
sam,ל,prep,,,,PP,to
sam,דרכ,subs,,,,,way
sam,ו,conj,,,Way0,CP,and
sam,אכל,verb,qal,wayq,,VP,eat
sam,ו,conj,,,WXQt,CP,and
sam,פנה,subs,,,,NP,face
sam,לא,nega,,,,NegP,not
sam,היה,verb,qal,perf,,VP,be
sam,ל,prep,,,,PP,to
sam,עוד,subs,,,,AdvP,duration
sam,ו,conj,,,Way0,CP,and
sam,שׁכמ,verb,hif,wayq,,VP,rise early
sam,ב,prep,,,,PP,in
sam,ה,art,,,,,the
sam,בקר,subs,,,,,morning
sam,ו,conj,,,Way0,CP,and
sam,חוה,verb,hsht,wayq,,VP,bow down
sam,ל,prep,,,,PP,to
sam,פנה,subs,,,,,face
sam,יהוה,nmpr,,,,,YHWH
sam,ו,conj,,,Way0,CP,and
sam,שׁוב,verb,qal,wayq,,VP,return
sam,ו,conj,,,Way0,CP,and
sam,בוא,verb,qal,wayq,,VP,come
sam,אל,prep,,,,PP,to
sam,בית,subs,,,,,house
sam,ה,art,,,,AdvP,the
sam,רמה,nmpr,,,,,Ramah
sam,ו,conj,,,WayX,CP,and
sam,ידע,verb,qal,wayq,,VP,know
sam,אלקנה,nmpr,,,,PrNP,Elkanah
sam,את,prep,,,,PP,<object marker>
sam,חנה,nmpr,,,,,Hannah
sam,אשׁה,subs,,,,,woman
sam,ו,conj,,,WayX,CP,and
sam,זכר,verb,qal,wayq,,VP,remember
sam,יהוה,nmpr,,,,PrNP,YHWH
sam,ו,conj,,,Way0,CP,and
sam,היה,verb,qal,wayq,,VP,be
